"DAY_OF_MONTH","DAY_OF_WEEK","OP_CARRIER_AIRLINE_ID","OP_CARRIER","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","DEP_DEL15","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE"
"455297",24,5,20452,17,3556,11618,13198,1,"0",0,0,1092
"278705",15,3,20397,12,5260,14730,11057,1,"0",0,0,335
"213033",12,7,20409,4,426,15304,12478,1,"0",0,0,1005
"277918",15,3,20363,1,5121,11433,11267,1,"0",0,0,166
"598811",31,5,19790,5,2831,10397,14122,1,"0",0,0,526
"450134",24,5,19393,15,1534,14893,12892,1,"0",0,0,373
"532412",28,2,20452,17,3709,13930,11066,2,"1",0,0,296
"456382",24,5,20398,10,3637,12953,10990,1,"0",0,0,305
"464343",25,6,19930,3,430,14057,14771,1,"0",0,0,550
"481436",26,7,19393,15,3473,11697,11259,1,"0",0,0,1108
"562013",30,4,20366,6,4274,14730,13930,1,"0",0,0,286
"189534",10,5,20397,12,5067,11057,15412,1,"0",0,0,177
"417885",22,3,19977,14,594,11292,14107,1,"0",0,0,602
"397920",21,2,20304,13,3883,12889,14908,1,"0",0,0,226
"334631",18,6,19393,15,2460,10693,13204,1,"0",0,0,616
"361654",19,7,19930,3,1232,12892,13930,1,"0",0,0,1744
"57925",3,5,19393,15,126,12191,10140,1,"0",0,0,759
"359215",19,7,19977,14,410,10397,11618,1,"0",0,0,746
"474802",25,6,20436,7,2891,13485,14107,1,"0",0,0,1396
"538016",28,2,20363,1,5311,15096,11433,1,"0",0,0,374
"39710",3,5,19805,2,623,14107,13198,1,"1",0,0,1044
"598170",31,5,19790,5,2237,13495,12892,2,"0",0,0,1670
"358838",19,7,19977,14,813,11292,12889,1,"0",0,0,628
"286684",15,3,19930,3,482,14747,12892,1,"0",0,0,954
"519263",27,1,20363,1,4812,15412,11433,2,"1",0,0,443
"12166",1,3,20304,13,4273,14869,10779,1,"0",0,0,358
"534558",28,2,20366,6,4160,11618,11066,1,"0",0,0,463
"420302",22,3,19805,2,2225,11298,11638,1,"0",0,0,1313
"123810",7,2,19790,5,2970,13487,10423,1,"0",0,0,1042
"427903",23,4,19977,14,1894,13495,12266,1,"0",0,0,305
"207791",11,6,19393,15,4463,10800,13796,1,"0",0,0,325
"138622",8,3,19930,3,1069,12264,14771,1,"0",0,0,2419
"247664",13,1,20363,1,5487,11042,12478,1,"0",0,0,425
"8986",1,3,19393,15,1358,14679,14771,1,"1",0,0,447
"69386",4,6,19805,2,2014,11298,14107,1,"0",0,0,868
"312439",17,5,19393,15,670,11540,11259,1,"0",0,0,562
"493193",26,7,20452,17,5957,10721,10693,1,"0",0,0,942
"564273",30,4,20452,17,4502,11278,13487,1,"0",0,0,931
"33925",2,4,19977,14,1973,12266,14771,1,"0",0,0,1635
"325507",17,5,20378,16,6161,12266,10423,2,"1",0,0,140
"180059",10,5,19393,15,1021,14057,14107,1,"0",0,0,1009
"505230",27,1,20397,12,5210,11057,11617,2,"1",0,0,221
"281933",15,3,20436,7,800,13204,15356,1,"0",0,0,896
"487974",26,7,19790,5,2126,10397,11697,1,"0",0,0,581
"263981",14,2,20363,1,5533,12953,10990,1,"0",0,0,305
"47221",3,5,20304,13,5584,11292,14869,1,"0",0,0,391
"210413",11,6,19790,5,668,14831,14869,2,"1",0,0,584
"377619",20,1,20368,8,2966,14986,14696,1,"0",0,0,1009
"479892",26,7,20409,4,502,11697,12478,1,"0",0,0,1069
"455784",24,5,20363,1,5029,10397,11973,1,"0",0,0,352
"550317",29,3,20304,13,4017,14689,14869,1,"0",0,0,615
"511487",27,1,20452,17,3452,14122,11618,1,"0",0,0,319
"538477",29,3,20366,6,4131,10994,13930,1,"0",0,0,760
"210593",11,6,19790,5,959,11433,12953,1,"0",0,0,502
"366099",20,1,20304,13,3252,13290,11298,1,"0",0,0,431
"317777",17,5,20398,10,3539,11298,12448,1,"0",0,0,408
"457581",24,5,19930,3,1059,12478,14747,2,"0",0,0,2422
"133382",7,2,20409,4,24,12892,12478,1,"0",0,0,2475
"495113",26,7,19805,2,674,12323,11057,1,"0",0,0,185
"503398",27,1,19790,5,2390,10397,11697,1,"0",0,0,581
"578074",30,4,20452,17,3657,11292,13244,1,"0",0,0,872
"223603",12,7,20304,13,3613,14771,14869,2,"1",0,0,599
"351603",19,7,19393,15,3694,13204,14307,1,"0",0,0,1072
"35944",2,4,20366,6,4052,11481,12266,2,"1",0,0,572
"333143",18,6,19393,15,5554,13204,10529,1,"0",0,0,1050
"487490",26,7,19790,5,1672,14869,12954,2,"0",0,0,588
"513141",27,1,19393,15,1554,13198,13232,1,"0",0,0,405
"406930",22,3,19393,15,2301,10693,11481,1,"0",0,0,401
"143722",8,3,20304,13,5136,13930,10431,2,"0",0,0,536
"529448",28,2,20436,7,663,11292,14771,1,"0",0,0,967
"564106",30,4,20452,17,4366,12953,12339,1,"0",0,0,660
"503213",27,1,19790,5,2225,10397,14307,1,"0",0,0,903
"406881",22,3,19393,15,641,10599,12191,1,"0",0,0,570
"51846",3,5,20368,8,1263,10431,14112,2,"1",0,0,519
"88377",5,7,19393,15,2873,14107,14869,2,"1",0,0,507
"582296",31,5,20363,1,4906,12953,14122,1,"0",0,0,335
"215632",12,7,19790,5,1613,10397,14122,1,"0",0,0,526
"586450",31,5,20304,13,3972,13342,11433,1,"0",0,0,237
"291680",16,4,20409,4,1033,13204,14843,1,"0",0,0,1189
"87302",5,7,19393,15,6542,12892,13232,1,"0",0,0,1750
"418312",22,3,20452,17,3423,11618,13487,1,"0",0,0,1008
"448930",24,5,19393,15,5630,13204,11066,1,"0",0,0,802
"557002",29,3,19977,14,1102,11618,13204,1,"0",0,0,937
"488456",26,7,19790,5,2596,13930,11433,1,"0",0,0,235
"51926",3,5,20368,8,2514,11618,14685,2,"1",0,0,708
"292407",16,4,19930,3,653,11292,14747,1,"0",0,0,1024
"568517",30,4,19790,5,926,10397,13244,1,"0",0,0,332
"188602",10,5,19790,5,803,14747,14893,2,"1",0,0,605
"73100",4,6,19805,2,2910,11298,15919,1,"0",0,0,280
"16747",1,3,19790,5,2641,10821,10397,1,"0",0,0,577
"424730",23,4,19790,5,456,14524,10397,1,"0",0,0,481
"589512",31,5,19393,15,610,11259,10423,1,"0",0,0,189
"135694",7,2,20304,13,3588,10994,12953,1,"0",0,0,641
"443132",24,5,20368,8,416,15412,14112,2,"1",0,0,550
"249090",13,1,19805,2,2640,11298,14027,1,"0",0,0,1102
"234902",13,1,19790,5,1296,14100,11433,2,"0",0,0,453
"305259",16,4,19393,15,596,12889,14831,1,"0",0,0,386
"459439",24,5,19790,5,1590,13198,10397,2,"1",0,0,692
"32108",2,4,20304,13,3887,13342,12953,1,"0",0,0,738
"199279",11,6,19977,14,2168,13930,12451,2,"1",0,0,864
"259394",14,2,20304,13,3009,14107,11921,1,"0",0,0,438
"10511",1,3,19805,2,138,13495,11298,1,"0",0,0,447
"172432",9,4,19393,15,4454,14831,14679,1,"0",0,0,417
"253136",14,2,20409,4,1089,12478,13204,1,"0",0,0,944
"536529",28,2,19790,5,346,10397,11697,1,"0",0,0,581
"192762",10,5,20436,7,2961,11618,13303,1,"0",0,0,1085
"240936",13,1,20397,12,5460,13851,11057,1,"0",0,0,940
"133019",7,2,20363,1,5485,13487,11193,1,"0",0,0,596
"349112",19,7,20304,13,3825,11977,11433,1,"0",0,0,287
"553430",29,3,20436,7,2010,12889,10693,1,"0",0,0,1587
"540076",29,3,19805,2,595,11057,14492,1,"0",0,0,130
"569654",30,4,19790,5,1940,11433,15096,1,"0",0,0,374
"209402",11,6,19930,3,540,14057,12892,1,"0",0,0,834
"146024",8,3,19805,2,236,11057,14869,1,"0",0,0,1727
"239407",13,1,19393,15,1268,13232,10529,1,"0",0,0,777
"439513",23,4,20436,7,383,11292,11540,1,"0",0,0,563
"460168",24,5,19790,5,2235,14869,13930,1,"1",0,0,1250
"170276",9,4,20416,11,176,10423,13930,1,"0",0,0,977
"77570",5,7,20398,10,3831,11953,13303,2,"1",0,0,294
"144150",8,3,20304,13,5619,13367,13930,1,"0",0,0,139
"32569",2,4,20304,13,5030,11447,12519,1,"0",0,0,83
"179343",10,5,19393,15,548,12953,11259,1,"0",0,0,1381
"13127",1,3,19977,14,2345,14771,12266,1,"0",0,0,1635
"307840",16,4,20409,4,327,10721,10821,1,"0",0,0,369
"494641",26,7,19690,9,322,12173,12402,1,"0",0,0,216
"139205",8,3,19805,2,2132,10721,12953,1,"0",0,0,184
"577078",30,4,19805,2,934,11298,11697,1,"0",0,0,1119
"267501",14,2,19977,14,742,13930,14635,1,"0",0,0,1120
"587357",31,5,19977,14,1950,11292,14057,1,"0",0,0,991
"233685",13,1,19930,3,1108,12892,12264,1,"0",0,0,2288
"557745",29,3,20363,1,5156,11953,10397,1,"0",0,0,300
"57353",3,5,19393,15,100,11259,10693,1,"0",0,0,623
"274834",15,3,19393,15,1350,10821,12391,1,"0",0,0,220
"330982",18,6,20398,10,3814,13930,15295,2,"1",0,0,213
"296311",16,4,19805,2,2054,14107,13303,1,"0",0,0,1972
"258719",14,2,19805,2,2023,12451,11057,1,"0",0,0,328
"43330",3,5,20416,11,918,11292,11298,1,"0",0,0,641
"83377",5,7,19805,2,1393,15304,13930,1,"0",0,0,1011
"213217",12,7,20409,4,844,10721,11278,1,"0",0,0,399
"141338",8,3,19690,9,15,14679,12173,1,"0",0,0,2614
"211934",11,6,19790,5,2602,11278,10397,1,"0",0,0,547
"160101",9,4,20304,13,3944,13485,13487,1,"0",0,0,228
"290182",15,3,19790,5,2999,10713,14869,1,"0",0,0,290
"342789",18,6,20304,13,3034,12892,14489,1,"0",0,0,726
"276694",15,3,19393,15,1798,13796,12889,1,"0",0,0,407
"256200",14,2,19977,14,645,11775,11292,1,"1",0,0,483
"193691",10,5,20304,13,3645,12323,10397,1,"0",0,0,377
"238168",13,1,19393,15,1318,10397,14107,1,"0",0,0,1587
"46787",3,5,20304,13,5115,12264,14025,1,"0",0,0,444
"19505",2,4,19930,3,630,14747,14908,1,"0",0,0,978
"77960",5,7,20409,4,1667,10721,10994,1,"0",0,0,818
"168473",9,4,19977,14,230,13930,11618,1,"0",0,0,719
"509532",27,1,20304,13,3466,14831,14679,1,"0",0,0,417
"232900",13,1,20409,4,2883,12478,13204,1,"0",0,0,944
"297309",16,4,20304,13,5723,11638,14771,2,"1",0,0,158
"79946",5,7,19790,5,1500,10721,10397,1,"0",0,0,946
"215574",12,7,19790,5,1554,11433,12889,1,"0",0,0,1749
"89728",5,7,19690,9,528,12173,12758,1,"0",0,0,163
"327828",17,5,19790,5,1168,11433,14635,1,"0",0,0,1084
"115394",6,1,20398,10,3842,15919,11298,1,"0",0,0,280
"121186",7,2,20378,16,6178,12266,13244,2,"0",0,0,468
"314422",17,5,19805,2,2240,11298,14747,2,"1",0,0,1660
"236632",13,1,19977,14,613,12892,13930,1,"0",0,0,1744
"492430",26,7,19805,2,2099,14107,14679,1,"0",0,0,304
"363603",20,1,20366,6,4069,11995,11618,2,"1",0,0,445
"391689",21,2,19805,2,2877,10599,11298,1,"0",0,0,597
"540381",29,3,19805,2,1855,11057,11278,1,"0",0,0,331
"170706",9,4,20452,17,4643,12451,11278,1,"0",0,0,634
"567830",30,4,20416,11,549,10529,13204,1,"0",0,0,1050
"580905",31,5,19805,2,2800,10529,11057,2,"0",0,0,644
"526198",28,2,19393,15,2123,12889,14683,2,"1",0,0,1069
"343160",18,6,20304,13,3543,12003,13487,1,"0",0,0,887
